"status"	"copyright"	"response.docs.web_url"	"response.docs.snippet"	"response.docs.lead_paragraph"	"response.docs.abstract"	"response.docs.print_page"	"response.docs.source"	"response.docs.pub_date"	"response.docs.document_type"	"response.docs.news_desk"	"response.docs.section_name"	"response.docs.subsection_name"	"response.docs.type_of_material"	"response.docs._id"	"response.docs.word_count"	"response.docs.uri"	"response.docs.headline.main"	"response.docs.headline.kicker"	"response.docs.headline.content_kicker"	"response.docs.headline.print_headline"	"response.docs.headline.name"	"response.docs.headline.seo"	"response.docs.headline.sub"	"response.docs.byline.original"	"response.docs.byline.organization"	"response.meta.hits"	"response.meta.offset"	"response.meta.time"
"1"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/09/11/us/politics/democratic-candidates-immigration-trump.html"	"The Democrats seeking the White House despise President Trump’s hard-line immigration policies, but they would rather not discuss their own proposals."	"WASHINGTON — One Democratic candidate would post asylum officers at the border to decide immigration cases on the spot. Others would create an entirely new court system outside the Justice Department. Some have suggested reinstating a program that would allow Central American minors to apply for refugee status in their home countries."	"The Democrats seeking the White House despise President Trump’s hard-line immigration policies, but they would rather not discuss their own proposals."	"24"	"The New York Times"	"2019-09-11T20:40:32+0000"	"article"	"Washington"	"U.S."	"Politics"	"News"	"nyt://article/c6da4299-4954-53bf-82d0-f019770f1f14"	1332	"nyt://article/c6da4299-4954-53bf-82d0-f019770f1f14"	"Beyond Ending Trump’s Policies, Democrats Largely Skirt Questions About Their Immigration Plans"	NA	NA	"On Immigration Policy, Democrats Are Hazy On the Way Forward"	NA	NA	NA	"By Zolan Kanno-Youngs"	NA	1459	0	44
"2"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/reuters/2019/10/22/world/middleeast/22reuters-europe-migrants-greece-samos.html"	"Greek authorities moved more refugees and migrants from overcrowded island camps to the mainland on Tuesday as the government, facing a surge in new arrivals, said it would take a hardline on those who did not qualify for asylum."	"ATHENS — Greek authorities moved more refugees and migrants from overcrowded island camps to the mainland on Tuesday as the government, facing a surge in new arrivals, said it would take a hardline on those who did not qualify for asylum."	"Greek authorities moved more refugees and migrants from overcrowded island camps to the mainland on Tuesday as the government, facing a surge in new arrivals, said it would take a hardline on those who did not qualify for asylum."	NA	"Reuters"	"2019-10-22T14:32:47+0000"	"article"	"None"	"World"	"Middle East"	"News"	"nyt://article/6377e837-b55d-5f78-8911-8fc17b4b83e4"	431	"nyt://article/6377e837-b55d-5f78-8911-8fc17b4b83e4"	"Greece Moves More Migrants to Mainland, Warns Others to Stay Away"	NA	NA	"Greece Moves More Migrants to Mainland, Warns Others to Stay Away"	NA	NA	NA	"By Reuters"	"Reuters"	1459	0	44
"3"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/aponline/2019/10/16/world/europe/ap-eu-greece-migrant-surge-photo-gallery.html"	"Greece's eastern islands are struggling to cope with a surge in arrivals of migrants and asylum-seekers that has undermined efforts to ease severe overcrowding at refugee camps."	"SKALA, Greece — Greece's eastern islands are struggling to cope with a surge in arrivals of migrants and asylum-seekers that has undermined efforts to ease severe overcrowding at refugee camps."	"Greece's eastern islands are struggling to cope with a surge in arrivals of migrants and asylum-seekers that has undermined efforts to ease severe overcrowding at refugee camps."	NA	"AP"	"2019-10-16T08:18:12+0000"	"article"	"None"	"World"	"Europe"	"News"	"nyt://article/8408f9c4-4a0a-5f1b-b65e-6f6c0b85540f"	560	"nyt://article/8408f9c4-4a0a-5f1b-b65e-6f6c0b85540f"	"AP PHOTOS: Migrant Surge Overwhelms Greek Islands"	NA	NA	"AP PHOTOS: Migrant Surge Overwhelms Greek Islands"	NA	NA	NA	"By The Associated Press"	"The Associated Press"	1459	0	44
"4"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/09/14/world/europe/trump-america-asylum-migration.html"	"President Trump’s plan to bar migrants from seeking asylum in the United States is similar to a scheme employed by Australia since 2012. Europe tried a comparable scheme in 2016, but it didn’t work."	"BERLIN — The Supreme Court this week allowed the Trump administration to move forward with a plan to bar most migrants, particularly Central Americans, from seeking asylum in the United States."	"President Trump’s plan to bar migrants from seeking asylum in the United States is similar to a scheme employed by Australia since 2012. Europe tried a comparable scheme in 2016, but it didn’t work."	"18"	"The New York Times"	"2019-09-14T16:00:06+0000"	"article"	"Foreign"	"World"	"Europe"	"News"	"nyt://article/7d4abfe2-7363-55a4-8b08-b933837eef30"	1542	"nyt://article/7d4abfe2-7363-55a4-8b08-b933837eef30"	"Is Trump’s America Tougher on Asylum Than Other Western Countries?"	NA	NA	"Trump Asylum Hurdle Is Tough, but Not Unique"	NA	NA	NA	"By Patrick Kingsley"	NA	1459	0	44
"5"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/09/27/opinion/editorials/trump-refugees.html"	"Slashing the number of refugees admitted to the United States is the latest way the White House has told immigrants to stay away."	"President Trump’s latest assault on immigration, cutting the number of refugees accepted to a mere 18,000 from 30,000 last year, is better than the complete ban that some of his aides were seeking. But looking at mere numbers misses the point."	"Slashing the number of refugees admitted to the United States is the latest way the White House has told immigrants to stay away."	"22"	"The New York Times"	"2019-09-28T01:00:26+0000"	"article"	"Editorial"	"Opinion"	"Editorials"	"Editorial"	"nyt://article/bbef9167-6f17-551a-bf98-d8124afdc24a"	657	"nyt://article/bbef9167-6f17-551a-bf98-d8124afdc24a"	"Trump Tears Up the Welcome Mat"	NA	NA	"Mr. Trump Tears Up the Welcome Mat"	NA	NA	NA	"By The Editorial Board"	"The Editorial Board"	1459	0	44
"6"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/08/13/arts/design/the-museum-is-the-refugees-home.html"	"Without exiles and émigrés there is no modern culture. A new show in Washington maps a century of art and displacement."	"WASHINGTON — “In the first place, we don’t like to be called ‘refugees,’” Hannah Arendt wrote in 1943. She was in New York by then. A decade previously, the philosopher had fled her native Germany, without papers. After years in Paris as an “undocumented immigrant” (or, in another register, “an illegal”), she was sent with other Jews to an internment camp. She escaped, and made it to Portugal, then to the United States. "	"Without exiles and émigrés there is no modern culture. A new show in Washington maps a century of art and displacement."	"1"	"The New York Times"	"2019-08-13T09:00:12+0000"	"article"	"Arts&Leisure"	"Arts"	"Art & Design"	"News"	"nyt://article/ed137e40-5850-52e4-921c-6ba5ef05dccb"	2027	"nyt://article/ed137e40-5850-52e4-921c-6ba5ef05dccb"	"The Museum Is the Refugee’s Home"	"Critic’s Notebook"	NA	"The Museum Is the Refugee’s Home"	NA	NA	NA	"By Jason Farago"	NA	1459	0	44
"7"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/06/28/us/politics/homeland-security-border-arrests.html"	"He attributed the drop to Mexico cracking down on undocumented immigrants crossing the border and the expansion of a policy that forces migrants to wait in Mexico while their asylum cases are processed."	"WASHINGTON — Kevin McAleenan, the acting secretary of homeland security, said on Friday that arrests of migrants at the southwestern border are expected to decline by 25 percent in June."	"He attributed the drop to Mexico cracking down on undocumented immigrants crossing the border and the expansion of a policy that forces migrants to wait in Mexico while their asylum cases are processed."	NA	"The New York Times"	"2019-06-28T23:36:43+0000"	"article"	"Washington"	"U.S."	"Politics"	"News"	"nyt://article/b6fca8f2-5ce2-5e64-a857-11b82496d13c"	666	"nyt://article/b6fca8f2-5ce2-5e64-a857-11b82496d13c"	"McAleenan Says Arrests of Migrants on Border Expected to Decline by 25 Percent in June"	NA	NA	NA	NA	NA	NA	"By Zolan Kanno-Youngs"	NA	1459	0	44
"8"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/reuters/2019/10/15/world/europe/15reuters-europe-migrants-greece-samos.html"	"A fire in a severely overcrowded migrant camp in Greece forced hundreds of people into the streets, compounding their plight with more refugees arriving on Greek islands daily in what an aid group called a worsening \"nightmare\"."	"ATHENS — A fire in a severely overcrowded migrant camp in Greece forced hundreds of people into the streets, compounding their plight with more refugees arriving on Greek islands daily in what an aid group called a worsening \"nightmare\"."	"A fire in a severely overcrowded migrant camp in Greece forced hundreds of people into the streets, compounding their plight with more refugees arriving on Greek islands daily in what an aid group called a worsening \"nightmare\"."	NA	"Reuters"	"2019-10-15T19:27:43+0000"	"article"	"None"	"World"	"Europe"	"News"	"nyt://article/58347e77-bf83-53d9-8f87-26f7772179cb"	463	"nyt://article/58347e77-bf83-53d9-8f87-26f7772179cb"	"Second Greek Migrant Camp in Flames as Arrivals Continue to Rise"	NA	NA	"Second Greek Migrant Camp in Flames as Arrivals Continue to Rise"	NA	NA	NA	"By Reuters"	"Reuters"	1459	0	44
"9"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/09/08/world/europe/migrants-africa-rwanda.html"	"The European Union is preparing to pay Rwanda to host migrants evacuated from Libya, extending an outsourcing policy that is already under criticism."	"BRUSSELS — For three years, the European Union has been paying other countries to keep asylum seekers away from a Europe replete with populist and anti-migrant parties."	"The European Union is preparing to pay Rwanda to host migrants evacuated from Libya, extending an outsourcing policy that is already under criticism."	"8"	"The New York Times"	"2019-09-08T22:05:05+0000"	"article"	"Foreign"	"World"	"Europe"	"News"	"nyt://article/332d5e93-4cc9-5fca-8f0d-6bb583444ea7"	1166	"nyt://article/332d5e93-4cc9-5fca-8f0d-6bb583444ea7"	"Europe Keeps Asylum Seekers at a Distance, This Time in Rwanda"	NA	NA	"Diverting Europe’s Asylum Seekers, This Time to Rwanda"	NA	NA	NA	"By Matina Stevis-Gridneff"	NA	1459	0	44
"10"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/09/29/world/europe/pope-francis-migrants-sculpture.html"	"The pope unveiled the sculpture in St. Peter’s Square during a special Mass and portrayed migration as an opportunity to “promote the integral human development of all people.”"	"VATICAN CITY — Pope Francis has always urged compassion and charity toward the refugees of the world. But on Sunday, during a special Mass on the 105th World Day of Migrants and Refugees, he unveiled a monument to migration in St. Peter’s Square as a homage to the displaced."	"The pope unveiled the sculpture in St. Peter’s Square during a special Mass and portrayed migration as an opportunity to “promote the integral human development of all people.”"	"7"	"The New York Times"	"2019-09-29T13:26:34+0000"	"article"	"Foreign"	"World"	"Europe"	"News"	"nyt://article/6196ab99-b61f-597d-b10f-8c51f0e86fd4"	827	"nyt://article/6196ab99-b61f-597d-b10f-8c51f0e86fd4"	"Unveiling Monument to Migrants, Pope Francis Urges Compassion for Refugees"	NA	NA	"Pope Unveils Monument in a Call to Aid Migrants"	NA	NA	NA	"By Elisabetta Povoledo"	NA	1459	0	44
